gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Prob,Churn_Prediction,Actual_Churn,CustomerID,Contract,PaymentMethod,InternetService
0,0,1,0,1,0,1,29.85,-0.9926672209068343,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4853667,0,0,7590-VHVEG,Month-to-month,Electronic check,DSL
1,0,0,0,34,1,0,56.95,-0.1721981329410328,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0.007772207,0,0,5575-GNVDE,One year,Mailed check,DSL
1,0,0,0,2,1,1,53.85,-0.9581216184613621,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6665597,1,1,3668-QPYBK,Month-to-month,Mailed check,DSL
1,0,0,0,45,0,0,42.3,-0.19370641032566585,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0.009273496,0,0,7795-CFOCW,One year,Bank transfer (automatic),DSL
0,0,0,0,2,1,1,70.7,-0.9389296171027665,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.7314064,1,1,9237-HQITU,Month-to-month,Electronic check,Fiber optic
0,0,0,0,8,1,1,99.65,-0.6438360513856013,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.9851634,1,1,9305-CDSKC,Month-to-month,Electronic check,Fiber optic
1,0,0,1,22,1,1,89.1,-0.14577052647252983,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.6058965,1,0,1452-KIOVK,Month-to-month,Credit card (automatic),Fiber optic
0,0,0,0,10,0,0,29.75,-0.8726400032147437,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.071563944,0,0,6713-OKOMC,Month-to-month,Mailed check,DSL
0,0,1,0,28,1,1,104.8,0.338066445709169,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.7584397,1,1,7892-POOKP,Month-to-month,Electronic check,Fiber optic
1,0,0,1,62,1,0,56.15,0.5330307077864886,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.010952751,0,0,6388-TABGU,One year,Bank transfer (automatic),DSL
1,0,1,1,13,1,1,49.95,-0.7466566471699855,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03892881,0,0,9763-GRSKD,Month-to-month,Mailed check,DSL
1,0,0,0,16,1,0,18.95,-0.8616542369198235,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.001250995,0,0,7469-LKBCI,Two year,Credit card (automatic),No
